class,gender,age,living,type_living,rooms,education,salary,family_status,kids,religion,believe,important,left_right
Likud,Man,24,Center,City,4,First degree,10K-15K,Single,0,Jewish,secular,Security,70
Tikva Hadasha,Woman,24,Center,City,6,First degree,Unemployed,Other,0,Jewish,secular,Health,50
Tikva Hadasha,Man,57,Haifa,Yeshuv,8,Second degree,20K-25K,Married,4,Jewish,secular,Economy,50
Tikva Hadasha,Woman,60,Center,Yeshuv,8,Second degree,25K+,Married,3,Jewish,secular,Economy,50
Likud,Man,56,Center,City,4,First degree,25K+,Married,4,Jewish,secular,Security,100
Likud,Man,24,Center,City,4,First degree,10K-15K,Single,0,Jewish,secular,Security,70
Likud,Woman,18,Center,City,4,Other,Other,Single,0,Jewish,secular,Security,70
Likud,Woman,53,North,City,4,Second degree,25K+,Married,4,Jewish,secular,Health,75
Likud,Woman,53,North,City,4,Second degree,25K+,Married,4,Jewish,secular,Health,75
Likud,Woman,18,Center,City,4,Other,Other,Single,0,Jewish,secular,Security,70
Tikva Hadasha,Man,28,Haifa,Yeshuv,9,First degree,Unemployed,Single,0,Jewish,secular,Economy,55
Merets,Man,56,North,Yeshuv,5,Second degree,25K+,Married,3,Jewish,atheist,Social equality,20
Haavoda,Man,57,Center,Yeshuv,7,First degree,25K+,Married,3,Jewish,atheist,Social equality,35
Haavoda,Man,57,North,Yeshuv,4,Second degree,25K+,Married,3,Jewish,secular,Social equality,50
Yesh Atid,Man,57,Center,City,3,Second degree,25K+,Married,2,Jewish,secular,Health,60
Yesh Atid,Man,43,Center,City,5,First degree,15K-20K,Married,3,Jewish,secular,Health,40
Merets,Man,59,Tel Aviv,City,6,Third degree and above,25K+,Married,2,Jewish,secular,Economy,40
Merets,Man,57,Jerusalem,City,4,First degree,Unemployed,Married,2,Jewish,atheist,Economy,20
Merets,Man,57,Tel Aviv,City,6,First degree,25K+,Married,3,Jewish,secular,Social equality,40
Yesh Atid,Man,57,Center,City,5,Second degree,25K+,Married,3,Jewish,secular,Economy,60
Yamina,Man,28,Tel Aviv,City,4,First degree,25K+,Married,0,Jewish,observant,Economy,60
Yesh Atid,Man,57,Center,City,5,Second degree,25K+,Married,3,Jewish,secular,Economy,60
Yesh Atid,Woman,25,Center,City,3,First degree,5K-10K,Single,0,Jewish,secular,Social equality,45
Kahol Lavan,Man,24,Tel Aviv,City,4,High school,Unemployed,Single,0,Jewish,secular,Economy,40
Yamina,Woman,24,Tel Aviv,City,5,High school,Unemployed,Single,0,Jewish,secular,Health,75
Yahadut Hatora,Man,32,South,City,4,Graduate High school,10K-15K,Married,4,Jewish,Very religious,Economy,20
Yesh Atid,Woman,25,Center,City,5,First degree,5K-10K,Single,0,Jewish,observant,Economy,60
Yesh Atid,Woman,25,Tel Aviv,City,5,First degree,Unemployed,Single,0,Jewish,secular,Economy,60
Yesh Atid,Woman,25,Center,City,3,First degree,5K-10K,Single,0,Jewish,secular,Social equality,45
Haavoda,Woman,24,Center,City,5,First degree,less then 5K,Single,0,Jewish,observant,Economy,45
Haavoda,Man,28,North,Kibutz,2,High school,5K-10K,Single,0,Jewish,atheist,Social equality,30
Shas,Woman,35,Center,Moshav,4,High school,10K-15K,Married,2,Jewish,religious,Health,80
Haavoda,Man,65,Center,City,4,Second degree,25K+,Married,3,Jewish,secular,Social equality,10
Other,Woman,40,North,Kefar,5,Second degree,10K-15K,Married,5,Muslim,religious,Economy,50
Likud,Woman,50,Center,Yeshuv,8,Third degree and above,20K-25K,Married,3,Jewish,secular,Security,70
Shas,Woman,30,Center,City,3,Graduate High school,Unemployed,Married,4,Jewish,religious,Economy,70
Haavoda,Man,50,Center,City,3,First degree,15K-20K,Divorced,3,Jewish,secular,Social equality,25
Likud,Man,46,Center,Yeshuv,4,Graduate High school,10K-15K,Married,2,Jewish,religious,Social equality,85
Tikva Hadasha,Man,49,Center,Yeshuv,7,Second degree,25K+,Married,4,Jewish,secular,Economy,70
Likud,Man,54,Center,Moshav,6,High school,10K-15K,Married,3,Jewish,observant,Security,75
